Source, Destination, Type, Time
// 3 Bots initiate contact
Src: 1, Des: 2, Type: 103, Time: 756.1045
Src: 1, Des: 3, Type: 103, Time: 756.1045
Src: 2, Des: 1, Type: 104, Time: 756.2045
Src: 3, Des: 1, Type: 104, Time: 756.3045

// 5 additional bots contacted by Bot 1
Src: 1, Des: 10, Type: 103, Time: 756.4045
Src: 1, Des: 15, Type: 103, Time: 756.4045
Src: 1, Des: 28, Type: 103, Time: 756.4045
Src: 1, Des: 12, Type: 103, Time: 756.4045
Src: 1, Des: 39, Type: 103, Time: 756.4045
Src: 1, Des: 159, Type: 103, Time: 756.4045 // will not reply

// answers of additional bots for bot 1
Src: 10, Des: 1, Type: 104, Time: 756.5045
Src: 15, Des: 1, Type: 104, Time: 756.5045
Src: 28, Des: 1, Type: 104, Time: 756.5045
Src: 12, Des: 1, Type: 104, Time: 756.5045
Src: 39, Des: 1, Type: 104, Time: 756.5045
Src: 159, Des: 1, Type: 3, Time: 756.8045 // timeout

// 5 additional bots contacted by Bot 2
Src: 2, Des: 45, Type: 103, Time: 756.5045
Src: 2, Des: 81, Type: 103, Time: 756.5045
Src: 2, Des: 57, Type: 103, Time: 756.5045
Src: 2, Des: 64, Type: 103, Time: 756.5045
Src: 2, Des: 52, Type: 103, Time: 756.5045
Src: 2, Des: 11, Type: 103, Time: 756.5045 // will not reply

// answers of additional bots for bot 2
Src: 45, Des: 2, Type: 104, Time: 756.6045
Src: 81, Des: 2, Type: 104, Time: 756.6045
Src: 57, Des: 2, Type: 104, Time: 756.6045
Src: 64, Des: 2, Type: 104, Time: 756.6045
Src: 52, Des: 2, Type: 104, Time: 756.6045
Src: 11, Des: 2, Type: 3, Time: 756.9045 // timeout

// 5 additional bots contacted by Bot 3
Src: 3, Des: 73, Type: 103, Time: 756.6045
Src: 3, Des: 219, Type: 103, Time: 756.6045
Src: 3, Des: 142, Type: 103, Time: 756.6045
Src: 3, Des: 232, Type: 103, Time: 756.6045
Src: 3, Des: 115, Type: 103, Time: 756.6045
Src: 3, Des: 94, Type: 103, Time: 756.6045 // will not reply

// answers of additional bots for bot 3
Src: 73, Des: 3, Type: 104, Time: 756.7045
Src: 219, Des: 3, Type: 104, Time: 756.7045
Src: 142, Des: 3, Type: 104, Time: 756.7045
Src: 232, Des: 3, Type: 104, Time: 756.7045
Src: 115, Des: 3, Type: 104, Time: 756.7045
Src: 94, Des: 3, Type: 3, Time: 757.0045 // timeout

// 2 additional external Bots contacted by all bots
// and answers of the 2 additional external Bots
Src: 1, Des: 136, Type: 103, Time: 756.7045
Src: 136, Des: 1, Type: 104, Time: 756.8045

Src: 1, Des: 31, Type: 103, Time: 756.7045
Src: 31, Des: 1, Type: 104, Time: 756.8045

Src: 2, Des: 252, Type: 103, Time: 756.7045
Src: 252, Des: 2, Type: 104, Time: 756.8045

Src: 2, Des: 43, Type: 103, Time: 756.7045
Src: 43, Des: 2, Type: 104, Time: 756.8045

Src: 3, Des: 177, Type: 103, Time: 756.7045
Src: 177, Des: 3, Type: 104, Time: 756.8045

Src: 3, Des: 5, Type: 103, Time: 756.7045
Src: 5, Des: 3, Type: 104, Time: 756.8045

Src: 10, Des: 111, Type: 103, Time: 756.8045
Src: 111, Des: 10, Type: 104, Time: 756.9045

Src: 10, Des: 79, Type: 103, Time: 756.8045
Src: 79, Des: 10, Type: 104, Time: 756.9045

Src: 15, Des: 137, Type: 103, Time: 756.8045
Src: 137, Des: 15, Type: 104, Time: 756.9045

Src: 15, Des: 170, Type: 103, Time: 756.8045
Src: 170, Des: 15, Type: 104, Time: 756.9045

Src: 28, Des: 119, Type: 103, Time: 756.9045
Src: 119, Des: 28, Type: 104, Time: 757.0045

Src: 28, Des: 171, Type: 103, Time: 756.9045
Src: 171, Des: 28, Type: 104, Time: 757.0045

Src: 12, Des: 128, Type: 103, Time: 756.9045
Src: 128, Des: 12, Type: 104, Time: 757.0045

Src: 12, Des: 251, Type: 103, Time: 756.9045
Src: 251, Des: 12, Type: 104, Time: 757.0045

Src: 39, Des: 179, Type: 103, Time: 757.0045
Src: 179, Des: 39, Type: 104, Time: 757.1045

Src: 39, Des: 22, Type: 103, Time: 757.0045
Src: 22, Des: 39, Type: 104, Time: 757.1045

Src: 45, Des: 242, Type: 103, Time: 757.0045
Src: 242, Des: 45, Type: 104, Time: 757.1045

Src: 45, Des: 87, Type: 103, Time: 757.0045
Src: 87, Des: 45, Type: 104, Time: 757.1045

Src: 81, Des: 80, Type: 103, Time: 757.1045
Src: 80, Des: 81, Type: 104, Time: 757.2045

Src: 81, Des: 166, Type: 103, Time: 757.1045
Src: 166, Des: 81, Type: 104, Time: 757.2045

Src: 57, Des: 65, Type: 103, Time: 757.1045
Src: 65, Des: 57, Type: 104, Time: 757.2045

Src: 57, Des: 223, Type: 103, Time: 757.1045
Src: 223, Des: 57, Type: 104, Time: 757.2045

Src: 64, Des: 235, Type: 103, Time: 757.1045
Src: 235, Des: 64, Type: 104, Time: 757.2045

Src: 64, Des: 44, Type: 103, Time: 757.1045
Src: 44, Des: 64, Type: 104, Time: 757.2045

Src: 52, Des: 66, Type: 103, Time: 757.1045
Src: 66, Des: 52, Type: 104, Time: 757.2045

Src: 52, Des: 215, Type: 103, Time: 757.1045
Src: 215, Des: 52, Type: 104, Time: 757.2045

Src: 73, Des: 184, Type: 103, Time: 757.1045
Src: 184, Des: 73, Type: 104, Time: 757.2045

Src: 73, Des: 114, Type: 103, Time: 757.1045
Src: 114, Des: 73, Type: 104, Time: 757.2045

Src: 219, Des: 156, Type: 103, Time: 757.1045
