Src: 1, Dst: 2, Type: 103, Time: 756.1045
Src: 1, Dst: 3, Type: 103, Time: 756.1045
Src: 2, Dst: 1, Type: 104, Time: 756.2045
Src: 3, Dst: 1, Type: 104, Time: 756.3045
Src: 1, Dst: 10, Type: 103, Time: 756.4045
Src: 1, Dst: 15, Type: 103, Time: 756.4045
Src: 1, Dst: 28, Type: 103, Time: 756.4045
Src: 1, Dst: 12, Type: 103, Time: 756.4045
Src: 1, Dst: 39, Type: 103, Time: 756.4045
Src: 1, Dst: 159, Type: 103, Time: 756.4045
Src: 10, Dst: 1, Type: 104, Time: 756.5045
Src: 15, Dst: 1, Type: 104, Time: 756.5045
Src: 28, Dst: 1, Type: 104, Time: 756.5045
Src: 12, Dst: 1, Type: 104, Time: 756.5045
Src: 39, Dst: 1, Type: 104, Time: 756.5045
Src: 159, Dst: 1, Type: 3, Time: 756.8045
Src: 2, Dst: 45, Type: 103, Time: 756.5045
Src: 2, Dst: 81, Type: 103, Time: 756.5045
Src: 2, Dst: 57, Type: 103, Time: 756.5045
Src: 2, Dst: 64, Type: 103, Time: 756.5045
Src: 2, Dst: 52, Type: 103, Time: 756.5045
Src: 2, Dst: 11, Type: 103, Time: 756.5045
Src: 45, Dst: 2, Type: 104, Time: 756.6045
Src: 81, Dst: 2, Type: 104, Time: 756.6045
Src: 57, Dst: 2, Type: 104, Time: 756.6045
Src: 64, Dst: 2, Type: 104, Time: 756.6045
Src: 52, Dst: 2, Type: 104, Time: 756.6045
Src: 11, Dst: 2, Type: 3, Time: 756.9045
Src: 3, Dst: 73, Type: 103, Time: 756.6045
Src: 3, Dst: 219, Type: 103, Time: 756.6045
Src: 3, Dst: 142, Type: 103, Time: 756.6045
Src: 3, Dst: 232, Type: 103, Time: 756.6045
Src: 3, Dst: 115, Type: 103, Time: 756.6045
Src: 3, Dst: 94, Type: 103, Time: 756.6045
Src: 73, Dst: 3, Type: 104, Time: 756.7045
Src: 219, Dst: 3, Type: 104, Time: 756.7045
Src: 142, Dst: 3, Type: 104, Time: 756.7045
Src: 232, Dst: 3, Type: 104, Time: 756.7045
Src: 115, Dst: 3, Type: 104, Time: 756.7045
Src: 94, Dst: 3, Type: 3, Time: 757.0045
Src: 1, Dst: 136, Type: 103, Time: 756.7045
Src: 136, Dst: 1, Type: 104, Time: 756.8045
Src: 1, Dst: 31, Type: 103, Time: 756.7045
Src: 31, Dst: 1, Type: 104, Time: 756.8045
Src: 2, Dst: 252, Type: 103, Time: 756.7045
Src: 252, Dst: 2, Type: 104, Time: 756.8045
Src: 2, Dst: 43, Type: 103, Time: 756.7045
Src: 43, Dst: 2, Type: 104, Time: 756.8045
Src: 3, Dst: 177, Type: 103, Time: 756.7045
Src: 177, Dst: 3, Type: 104, Time: 756.8045
Src: 3, Dst: 5, Type: 103, Time: 756.7045
Src: 5, Dst: 3, Type: 104, Time: 756.8045
Src: 10, Dst: 111, Type: 103, Time: 756.8045
Src: 111, Dst: 10, Type: 104, Time: 756.9045
Src: 10, Dst: 79, Type: 103, Time: 756.8045
Src: 79, Dst: 10, Type: 104, Time: 756.9045
Src: 15, Dst: 137, Type: 103, Time: 756.8045
Src: 137, Dst: 15, Type: 104, Time: 756.9045
Src: 15, Dst: 170, Type: 103, Time: 756.8045
Src: 170, Dst: 15, Type: 104, Time: 756.9045
Src: 28, Dst: 119, Type: 103, Time: 756.9045
Src: 119, Dst: 28, Type: 104, Time: 757.0045
Src: 28, Dst: 171, Type: 103, Time: 756.9045
Src: 171, Dst: 28, Type: 104, Time: 757.0045
Src: 12, Dst: 128, Type: 103, Time: 756.9045
Src: 128, Dst: 12, Type: 104, Time: 757.0045
Src: 12, Dst: 251, Type: 103, Time: 756.9045
Src: 251, Dst: 12, Type: 104, Time: 757.0045
Src: 39, Dst: 179, Type: 103, Time: 757.0045
Src: 179, Dst: 39, Type: 104, Time: 757.1045
Src: 39, Dst: 22, Type: 103, Time: 757.0045
Src: 22, Dst: 39, Type: 104, Time: 757.1045
Src: 45, Dst: 242, Type: 103, Time: 757.0045
Src: 242, Dst: 45, Type: 104, Time: 757.1045
Src: 45, Dst: 87, Type: 103, Time: 757.0045
Src: 87, Dst: 45, Type: 104, Time: 757.1045
Src: 81, Dst: 80, Type: 103, Time: 757.1045
Src: 80, Dst: 81, Type: 104, Time: 757.2045
Src: 81, Dst: 166, Type: 103, Time: 757.1045
Src: 166, Dst: 81, Type: 104, Time: 757.2045
Src: 57, Dst: 65, Type: 103, Time: 757.1045
Src: 65, Dst: 57, Type: 104, Time: 757.2045
Src: 57, Dst: 223, Type: 103, Time: 757.1045
Src: 223, Dst: 57, Type: 104, Time: 757.2045
Src: 64, Dst: 235, Type: 103, Time: 757.1045
Src: 235, Dst: 64, Type: 104, Time: 757.2045
Src: 64, Dst: 44, Type: 103, Time: 757.1045
Src: 44, Dst: 64, Type: 104, Time: 757.2045
Src: 52, Dst: 66, Type: 103, Time: 757.1045
Src: 66, Dst: 52, Type: 104, Time: 757.2045
Src: 52, Dst: 215, Type: 103, Time: 757.1045
Src: 215, Dst: 52, Type: 104, Time: 757.2045
Src: 73, Dst: 184, Type: 103, Time: 757.1045
Src: 184, Dst: 73, Type: 104, Time: 757.2045
Src: 73, Dst: 114, Type: 103, Time: 757.1045
Src: 114, Dst: 73, Type: 104, Time: 757.2045
Src: 219, Dst: 156, Type: 103, Time: 757.1045
Src: 156, Dst: 219, Type: 104, Time: 757.2045
Src: 219, Dst: 239, Type: 103, Time: 757.1045
Src: 239, Dst: 219, Type: 104, Time: 757.2045
Src: 142, Dst: 100, Type: 103, Time: 757.1045
Src: 100, Dst: 142, Type: 104, Time: 757.2045
Src: 142, Dst: 181, Type: 103, Time: 757.1045
Src: 181, Dst: 142, Type: 104, Time: 757.2045
Src: 232, Dst: 61, Type: 103, Time: 757.1045
Src: 61, Dst: 232, Type: 104, Time: 757.2045
Src: 232, Dst: 209, Type: 103, Time: 757.1045
Src: 209, Dst: 232, Type: 104, Time: 757.2045
Src: 115, Dst: 140, Type: 103, Time: 757.2045
Src: 140, Dst: 115, Type: 104, Time: 757.3045
Src: 115, Dst: 160, Type: 103, Time: 757.2045
Src: 160, Dst: 115, Type: 104, Time: 757.3045
Src: 1, Dst: 2, Type: 103, Time: 757.3045
Src: 1, Dst: 3, Type: 103, Time: 757.3045
Src: 1, Dst: 10, Type: 103, Time: 757.3045
Src: 1, Dst: 15, Type: 103, Time: 757.3045
Src: 1, Dst: 28, Type: 103, Time: 757.3045
Src: 1, Dst: 12, Type: 103, Time: 757.3045
Src: 1, Dst: 39, Type: 103, Time: 757.3045
Src: 1, Dst: 136, Type: 103, Time: 757.3045
Src: 1, Dst: 31, Type: 103, Time: 757.3045
Src: 2, Dst: 1, Type: 104, Time: 757.4045
Src: 3, Dst: 1, Type: 104, Time: 757.4045
Src: 10, Dst: 1, Type: 104, Time: 757.4045
Src: 15, Dst: 1, Type: 104, Time: 757.4045
Src: 28, Dst: 1, Type: 104, Time: 757.4045
Src: 12, Dst: 1, Type: 104, Time: 757.4045
Src: 39, Dst: 1, Type: 104, Time: 757.4045
Src: 136, Dst: , Type: 104, Time: 757.4045
Src: 31, Dst: , Type: 104, Time: 757.4045
Src: 2, Dst: 45, Type: 103, Time: 757.4045
Src: 2, Dst: 81, Type: 103, Time: 757.4045
Src: 2, Dst: 57, Type: 103, Time: 757.4045
Src: 2, Dst: 64, Type: 103, Time: 757.4045
Src: 2, Dst: 52, Type: 103, Time: 757.4045
Src: 2, Dst: 252, Type: 103, Time: 757.4045
Src: 2, Dst: 43, Type: 103, Time: 757.4045
Src: 45, Dst: 2, Type: 104, Time: 757.5045
Src: 81, Dst: 2, Type: 104, Time: 757.5045
