portnum,Service_name,protocol,open_frequency
1234,hotline,tcp,0.001217
1035,multidropper,tcp,0.001216
1036,nsstp,tcp,0.001216
1037,ams,tcp,0.001216
1074,warmspotMgmt,tcp,0.001216
8002,teradataordbms,tcp,0.001216
9001,tor-orport,tcp,0.001216
464,kpasswd5,tcp,0.001192
497,retrospect,tcp,0.001179
1935,rtmp,tcp,0.001179
2003,finger,tcp,0.001179
6666,irc,tcp,0.001179
6543,mythtv,tcp,0.001167
24,priv-mail,tcp,0.001154
1352,lotusnotes,tcp,0.001154
3269,globalcatLDAPssl,tcp,0.001142
1111,lmsocialserver,tcp,0.00114
407,timbuktu,tcp,0.001129
500,isakmp,tcp,0.001129
20,ftp-data,tcp,0.001079
2006,invokator,tcp,0.001066
1034,zincite-a,tcp,0.001064
1218,aeroflight-ads,tcp,0.001064
3260,iscsi,tcp,0.001064
15000,hydap,tcp,0.001064
4444,krb524,tcp,0.001041
264,bgmp,tcp,0.001029
33,dsp,tcp,0.001016
2004,mailbox,tcp,0.001016
1042,afrog,tcp,0.000988
42510,caerpc,tcp,0.000988
999,garcon,tcp,0.000966
3052,powerchute,tcp,0.000966
1023,netvenuechat,tcp,0.000953
222,rsh-spx,tcp,0.000941
1068,instl_bootc,tcp,0.000941
888,accessbuilder,tcp,0.000928
7100,font-service,tcp,0.000928
563,snews,tcp,0.000916
1717,fj-hdnet,tcp,0.000912
992,telnets,tcp,0.000903
2008,conf,tcp,0.000903
32770,sometimes-rpc3,tcp,0.000903
7001,afs3-callback,tcp,0.000891
32772,sometimes-rpc7,tcp,0.000891
2007,dectalk,tcp,0.000878
8082,blackice-alerts,tcp,0.000878
5550,sdadmind,tcp,0.000853
512,exec,tcp,0.000841
1043,boinc,tcp,0.000841
2009,news,tcp,0.000841
5801,vnc-http-1,tcp,0.000841
1700,mps-raft,tcp,0.000836
2701,sms-rcinfo,tcp,0.000836
7019,unknown,tcp,0.000836
50001,unknown,tcp,0.000836
4662,edonkey,tcp,0.000828
2065,dlsrpn,tcp,0.000815
42,nameserver,tcp,0.000803
2010,search,tcp,0.000803
161,snmp,tcp,0.00079
2602,ripd,tcp,0.00079
3333,dec-notes,tcp,0.00079
9535,man,tcp,0.00079
5100,admd,tcp,0.000778
2604,ospfd,tcp,0.000765
4002,mlchat-proxy,tcp,0.000765
5002,rfe,tcp,0.000765
1047,neod1,tcp,0.00076
1051,optima-vnet,tcp,0.00076
1052,ddt,tcp,0.00076
1055,ansyslmd,tcp,0.00076
1060,polestar,tcp,0.00076
1062,veracity,tcp,0.00076
1311,rxmon,tcp,0.00076
2702,sms-xfer,tcp,0.00076
3283,netassistant,tcp,0.00076
4443,pharos,tcp,0.00076
5225,hp-server,tcp,0.00076
5226,hp-status,tcp,0.00076
6059,X11:59,tcp,0.00076
6789,ibm-db2-admin,tcp,0.00076
8089,unknown,tcp,0.00076
8192,sophos,tcp,0.00076
8193,sophos,tcp,0.00076
8194,sophos,tcp,0.00076
8651,unknown,tcp,0.00076
8652,unknown,tcp,0.00076
8701,unknown,tcp,0.00076
9415,unknown,tcp,0.00076
9593,cba8,tcp,0.00076
9594,msgsys,tcp,0.00076
9595,pds,tcp,0.00076
16992,amt-soap-http,tcp,0.00076
16993,amt-soap-https,tcp,0.00076
20828,unknown,tcp,0.00076
23502,unknown,tcp,0.00076
32769,filenet-rpc,tcp,0.00076
33354,unknown,tcp,0.00076
35500,unknown,tcp,0.00076
52869,unknown,tcp,0.00076
55555,unknown,tcp,0.00076
55600,unknown,tcp,0.00076
64623,unknown,tcp,0.00076
64680,unknown,tcp,0.00076
65000,unknown,tcp,0.00076
65389,unknown,tcp,0.00076
1067,instl_boots,tcp,0.000728
13782,netbackup,tcp,0.000728
366,odmr,tcp,0.000715
5902,vnc-2,tcp,0.000715
9050,tor-socks,tcp,0.000703
85,mit-ml-dev,tcp,0.00069
1002,windows-icfw,tcp,0.00069
5500,hotline,tcp,0.00069
1863,msnp,tcp,0.000684
1864,paradym-31,tcp,0.000684
5431,park-agent,tcp,0.000684
8085,unknown,tcp,0.000684
10243,unknown,tcp,0.000684
45100,unknown,tcp,0.000684
49999,unknown,tcp,0.000684
51103,unknown,tcp,0.000684
49,tacacs,tcp,0.000665
90,dnsix,tcp,0.000652
6667,irc,tcp,0.000652
1503,imtc-mcs,tcp,0.00064
6881,bittorrent-tracker,tcp,0.00064
27000,flexlm0,tcp,0.00064
340,unknown,tcp,0.000627
1500,vlsi-lm,tcp,0.000627
8021,ftp-proxy,tcp,0.000627
2222,EtherNetIP-1,tcp,0.000608
5566,westec-connect,tcp,0.000608
8088,radan-http,tcp,0.000608
8899,ospf-lite,tcp,0.000608
9071,unknown,tcp,0.000608
1501,sas-3,tcp,0.000602
5102,admeng,tcp,0.000602
6005,X11:5,tcp,0.000602
9101,jetdirect,tcp,0.000602
9876,sd,tcp,0.000602
32773,sometimes-rpc9,tcp,0.000602
32774,sometimes-rpc11,tcp,0.000602
163,cmip-man,tcp,0.00059
5679,activesync,tcp,0.00059
146,iso-tp0,tcp,0.000577
648,rrp,tcp,0.000577
1666,netview-aix-6,tcp,0.000577
901,samba-swat,tcp,0.000552
83,mit-ml-dev,tcp,0.000539
3476,nppmp,tcp,0.000532
5004,avt-profile-1,tcp,0.000532
5214,unknown,tcp,0.000532
8001,vcom-tunnel,tcp,0.000532
8083,us-srv,tcp,0.000532
8084,unknown,tcp,0.000532
9207,wap-vcal-s,tcp,0.000532
14238,unknown,tcp,0.000532
30,unknown,tcp,0.000527
912,apex-mesh,tcp,0.000527
12345,netbus,tcp,0.000527
2030,device2,tcp,0.000514
2605,bgpd,tcp,0.000514
6,unknown,tcp,0.000502
541,uucp-rlogin,tcp,0.000489
4,unknown,tcp,0.000477
1248,hermes,tcp,0.000477
3005,deslogin,tcp,0.000477
8007,ajp12,tcp,0.000477
306,unknown,tcp,0.000464
880,unknown,tcp,0.000464
2500,rtsserv,tcp,0.000464
1086,cplscrambler-lg,tcp,0.000456
1088,cplscrambler-al,tcp,0.000456
1097,sunclustermgr,tcp,0.000456
2525,ms-v-worlds,tcp,0.000456
4242,vrml-multi-use,tcp,0.000456
8291,unknown,tcp,0.000456
9009,pichat,tcp,0.000456
52822,unknown,tcp,0.000456
900,omginitialrefs,tcp,0.000452
6101,backupexec,tcp,0.000452
2809,corbaloc,tcp,0.000439
7200,fodms,tcp,0.000439
211,914c-g,tcp,0.000427
800,mdbs_daemon,tcp,0.000427
987,unknown,tcp,0.000427
1083,ansoft-lm-1,tcp,0.000427
12000,cce4x,tcp,0.000427
32775,sometimes-rpc13,tcp,0.000427
705,agentx,tcp,0.000414
711,cisco-tdp,tcp,0.000401
20005,btx,tcp,0.000401
6969,acmsoda,tcp,0.000389
13783,netbackup,tcp,0.000389
1045,fpitp,tcp,0.00038
1046,wfremotertm,tcp,0.00038
1057,startron,tcp,0.00038
1061,kiosk,tcp,0.00038
1063,kyoceranetdev,tcp,0.00038
1070,gmrupdateserv,tcp,0.00038
1072,cardax,tcp,0.00038
1073,bridgecontrol,tcp,0.00038
1075,rdrmshc,tcp,0.00038
1077,imgames,tcp,0.00038
1078,avocent-proxy,tcp,0.00038
1079,asprovatalk,tcp,0.00038
1081,pvuniwien,tcp,0.00038
1082,amt-esd-prot,tcp,0.00038
1085,webobjects,tcp,0.00038
1093,proofd,tcp,0.00038
1094,rootd,tcp,0.00038
1096,cnrprotocol,tcp,0.00038
1098,rmiactivation,tcp,0.00038
1099,rmiregistry,tcp,0.00038
1100,mctp,tcp,0.00038
1104,xrl,tcp,0.00038
1106,isoipsigport-1,tcp,0.00038
1107,isoipsigport-2,tcp,0.00038
1108,ratio-adp,tcp,0.00038
1148,elfiq-repl,tcp,0.00038
1169,tripwire,tcp,0.00038
1272,cspmlockmgr,tcp,0.00038
1310,husky,tcp,0.00038
1687,nsjtp-ctrl,tcp,0.00038
1718,h323gatedisc,tcp,0.00038
1783,unknown,tcp,0.00038
1840,netopia-vo2,tcp,0.00038
1947,sentinelsrm,tcp,0.00038
2100,amiganetfs,tcp,0.00038
2119,gsigatekeeper,tcp,0.00038
2135,gris,tcp,0.00038
2144,lv-ffx,tcp,0.00038
2160,apc-2160,tcp,0.00038
2190,tivoconnect,tcp,0.00038
2260,apc-2260,tcp,0.00038
2381,compaq-https,tcp,0.00038
2399,fmpro-fdal,tcp,0.00038
2492,groove,tcp,0.00038
2607,connection,tcp,0.00038
2718,pn-requester2,tcp,0.00038
2811,gsiftp,tcp,0.00038
2875,dxmessagebase2,tcp,0.00038
3017,event_listener,tcp,0.00038
3031,eppc,tcp,0.00038
3071,csd-mgmt-port,tcp,0.00038
3211,avsecuremgmt,tcp,0.00038
3300,unknown,tcp,0.00038
3301,unknown,tcp,0.00038
3323,active-net,tcp,0.00038
3325,active-net,tcp,0.00038
3351,btrieve,tcp,0.00038
3367,satvid-datalnk,tcp,0.00038
3404,unknown,tcp,0.00038
3551,apcupsd,tcp,0.00038
3580,nati-svrloc,tcp,0.00038
3659,apple-sasl,tcp,0.00038
3766,unknown,tcp,0.00038
3784,bfd-control,tcp,0.00038
3801,ibm-mgr,tcp,0.00038
3827,netmpi,tcp,0.00038
3998,dnx,tcp,0.00038
4003,pxc-splr-ft,tcp,0.00038
4126,ddrepl,tcp,0.00038
4129,nuauth,tcp,0.00038
4449,privatewire,tcp,0.00038
5030,surfpass,tcp,0.00038
5222,xmpp-client,tcp,0.00038
5269,xmpp-server,tcp,0.00038
5414,statusd,tcp,0.00038
5633,beorl,tcp,0.00038
5718,dpm,tcp,0.00038
5810,unknown,tcp,0.00038
5825,unknown,tcp,0.00038
5877,unknown,tcp,0.00038
5910,cm,tcp,0.00038
5911,cpdlc,tcp,0.00038
5925,unknown,tcp,0.00038
5959,unknown,tcp,0.00038
5960,unknown,tcp,0.00038
5961,unknown,tcp,0.00038
5962,unknown,tcp,0.00038
5987,wbem-rmi,tcp,0.00038
5988,wbem-http,tcp,0.00038
5989,wbem-https,tcp,0.00038
6123,backup-express,tcp,0.00038
6129,unknown,tcp,0.00038
6156,unknown,tcp,0.00038
6389,clariion-evr01,tcp,0.00038
6580,parsec-master,tcp,0.00038
6788,smc-http,tcp,0.00038
6901,jetstream,tcp,0.00038
7106,unknown,tcp,0.00038
7625,unknown,tcp,0.00038
7627,soap-http,tcp,0.00038
7741,scriptview,tcp,0.00038
7777,cbt,tcp,0.00038
7778,interwise,tcp,0.00038
7911,unknown,tcp,0.00038
8086,d-s-n,tcp,0.00038
8087,simplifymedia,tcp,0.00038
8181,unknown,tcp,0.00038
8222,unknown,tcp,0.00038
8333,bitcoin,tcp,0.00038
8400,cvd,tcp,0.00038
8402,abarsd,tcp,0.00038
8600,asterix,tcp,0.00038
8649,unknown,tcp,0.00038
8873,dxspider,tcp,0.00038
8994,unknown,tcp,0.00038
9002,dynamid,tcp,0.00038
9010,sdr,tcp,0.00038
9011,unknown,tcp,0.00038
9080,glrpc,tcp,0.00038
9220,unknown,tcp,0.00038
9290,unknown,tcp,0.00038
9485,unknown,tcp,0.00038
9500,ismserver,tcp,0.00038
9502,unknown,tcp,0.00038
9503,unknown,tcp,0.00038
9618,condor,tcp,0.00038
9900,iua,tcp,0.00038
9968,unknown,tcp,0.00038
10002,documentum,tcp,0.00038
10012,unknown,tcp,0.00038
10024,unknown,tcp,0.00038
10025,unknown,tcp,0.00038
10566,unknown,tcp,0.00038
10616,unknown,tcp,0.00038
10617,unknown,tcp,0.00038
10621,unknown,tcp,0.00038
10626,unknown,tcp,0.00038
10628,unknown,tcp,0.00038
10629,unknown,tcp,0.00038
11110,unknown,tcp,0.00038
11967,sysinfo-sp,tcp,0.00038
13456,unknown,tcp,0.00038
14000,scotty-ft,tcp,0.00038
14442,unknown,tcp,0.00038
15002,unknown,tcp,0.00038
15003,unknown,tcp,0.00038
15660,bex-xr,tcp,0.00038
16001,fmsascon,tcp,0.00038
16016,unknown,tcp,0.00038
16018,unknown,tcp,0.00038
17988,unknown,tcp,0.00038
19101,unknown,tcp,0.00038
19801,unknown,tcp,0.00038
19842,unknown,tcp,0.00038
20000,dnp,tcp,0.00038
20031,unknown,tcp,0.00038
20221,unknown,tcp,0.00038
20222,ipulse-ics,tcp,0.00038
21571,unknown,tcp,0.00038
22939,unknown,tcp,0.00038
24800,unknown,tcp,0.00038
25734,unknown,tcp,0.00038
27715,unknown,tcp,0.00038
28201,unknown,tcp,0.00038
30000,unknown,tcp,0.00038
30718,unknown,tcp,0.00038
31038,unknown,tcp,0.00038
32781,unknown,tcp,0.00038
32782,unknown,tcp,0.00038
33899,unknown,tcp,0.00038
34571,unknown,tcp,0.00038
34572,unknown,tcp,0.00038
34573,unknown,tcp,0.00038
40193,unknown,tcp,0.00038
48080,unknown,tcp,0.00038
49158,unknown,tcp,0.00038
49159,unknown,tcp,0.00038
49160,unknown,tcp,0.00038
50003,unknown,tcp,0.00038
50006,unknown,tcp,0.00038
50800,unknown,tcp,0.00038
57294,unknown,tcp,0.00038
58080,unknown,tcp,0.00038
60020,unknown,tcp,0.00038
63331,unknown,tcp,0.00038
65129,unknown,tcp,0.00038
89,su-mit-tg,tcp,0.000376
691,resvc,tcp,0.000376
212,anet,tcp,0.000364
1001,unknown,tcp,0.000364
1999,tcp-id-port,tcp,0.000364
2020,xinupageserver,tcp,0.000364
32776,sometimes-rpc15,tcp,0.000364
2998,iss-realsec,tcp,0.000351
6003,X11:3,tcp,0.000351
7002,afs3-prserver,tcp,0.000351
50002,iiimsf,tcp,0.000351
32,unknown,tcp,0.000339
898,sun-manageconsole,tcp,0.000339
2033,glogger,tcp,0.000339
3372,msdtc,tcp,0.000339
5510,secureidprop,tcp,0.000339
99,metagram,tcp,0.000326
425,icad-el,tcp,0.000326
749,kerberos-adm,tcp,0.000326
5903,vnc-3,tcp,0.000326
43,whois,tcp,0.000314
458,appleqtc,tcp,0.000314
5405,pcduo,tcp,0.000314
6106,isdninfo,tcp,0.000314
6502,netop-rc,tcp,0.000314
7007,afs3-bos,tcp,0.000314
13722,netbackup,tcp,0.000314
1087,cplscrambler-in,tcp,0.000304
1089,ff-annunc,tcp,0.000304
1124,hpvmmcontrol,tcp,0.000304
1152,winpoplanmess,tcp,0.000304
1183,llsurfup-http,tcp,0.000304
1186,mysql-cluster,tcp,0.000304
1247,visionpyramid,tcp,0.000304
1296,dproxy,tcp,0.000304
1334,writesrv,tcp,0.000304
1580,tn-tl-r1,tcp,0.000304
1782,hp-hcip,tcp,0.000304
2126,pktcable-cops,tcp,0.000304
2179,vmrdp,tcp,0.000304
2191,tvbus,tcp,0.000304
2251,dif-port,tcp,0.000304
2522,windb,tcp,0.000304
3011,trusted-web,tcp,0.000304
3030,arepa-cas,tcp,0.000304
3077,orbix-loc-ssl,tcp,0.000304
3261,winshadow,tcp,0.000304
3369,satvid-datalnk,tcp,0.000304
3370,satvid-datalnk,tcp,0.000304
3371,satvid-datalnk,tcp,0.000304
3493,nut,tcp,0.000304
3546,unknown,tcp,0.000304
3737,xpanel,tcp,0.000304
3828,neteh,tcp,0.000304
3851,spectraport,tcp,0.000304
3871,avocent-adsap,tcp,0.000304
3880,igrs,tcp,0.000304
3918,pktcablemmcops,tcp,0.000304
3995,iss-mgmt-ssl,tcp,0.000304
4006,pxc-spvr,tcp,0.000304
4111,xgrid,tcp,0.000304
4446,n1-fwp,tcp,0.000304
5054,rlm-admin,tcp,0.000304
5200,targus-getdata,tcp,0.000304
5280,xmpp-bosh,tcp,0.000304
5298,presence,tcp,0.000304
5822,unknown,tcp,0.000304
5859,wherehoo,tcp,0.000304
5904,unknown,tcp,0.000304
5915,unknown,tcp,0.000304
5922,unknown,tcp,0.000304
5963,indy,tcp,0.000304
7103,unknown,tcp,0.000304
7402,rtps-dd-mt,tcp,0.000304
7435,unknown,tcp,0.000304
7443,oracleas-https,tcp,0.000304
7512,unknown,tcp,0.000304
8011,unknown,tcp,0.000304
8090,unknown,tcp,0.000304
8100,xprint-server,tcp,0.000304
8180,unknown,tcp,0.000304
8254,unknown,tcp,0.000304
8500,fmtp,tcp,0.000304
8654,unknown,tcp,0.000304
9091,xmltec-xmlmail,tcp,0.000304
9110,unknown,tcp,0.000304
9666,unknown,tcp,0.000304
9877,unknown,tcp,0.000304
9943,unknown,tcp,0.000304
9944,unknown,tcp,0.000304
9998,distinct32,tcp,0.000304
10004,emcrmirccd,tcp,0.000304
10778,unknown,tcp,0.000304
15742,unknown,tcp,0.000304
16012,unknown,tcp,0.000304
18988,unknown,tcp,0.000304
19283,keysrvr,tcp,0.000304
19315,keyshadow,tcp,0.000304
19780,unknown,tcp,0.000304
24444,unknown,tcp,0.000304
27352,unknown,tcp,0.000304
27353,unknown,tcp,0.000304
27355,unknown,tcp,0.000304
32784,unknown,tcp,0.000304
49163,unknown,tcp,0.000304
49165,unknown,tcp,0.000304
49175,unknown,tcp,0.000304
50389,unknown,tcp,0.000304
50636,unknown,tcp,0.000304
51493,unknown,tcp,0.000304
55055,unknown,tcp,0.000304
56738,unknown,tcp,0.000304
61532,unknown,tcp,0.000304
61900,unknown,tcp,0.000304
62078,iphone-sync,tcp,0.000304
1021,exp1,tcp,0.000301
9040,tor-trans,tcp,0.000301
32777,sometimes-rpc17,tcp,0.000301
32779,sometimes-rpc21,tcp,0.000301
616,sco-sysmgr,tcp,0.000289
666,doom,tcp,0.000289
700,epp,tcp,0.000289
2021,servexec,tcp,0.000289
32778,sometimes-rpc19,tcp,0.000289
84,ctf,tcp,0.000276
545,ekshell,tcp,0.000276
1112,msql,tcp,0.000276
1524,ingreslock,tcp,0.000276
2040,lam,tcp,0.000276
4321,rwhois,tcp,0.000276
5802,vnc-http-2,tcp,0.000276
38292,landesk-cba,tcp,0.000276
49400,compaqdiag,tcp,0.000276
1084,ansoft-lm-2,tcp,0.000263
1600,issd,tcp,0.000263
2048,dls-monitor,tcp,0.000263
2111,kx,tcp,0.000263
3006,deslogind,tcp,0.000263
32780,sometimes-rpc23,tcp,0.000263
2638,sybase,tcp,0.000251
6547,powerchuteplus,tcp,0.000251
6699,napster,tcp,0.000251
9111,DragonIDSConsole,tcp,0.000251
16080,osxwebadmin,tcp,0.000251
555,dsf,tcp,0.000238
667,disclose,tcp,0.000238
720,unknown,tcp,0.000238
801,device,tcp,0.000238
1443,ies-lm,tcp,0.000238
1533,virtual-places,tcp,0.000238
2034,scoremgr,tcp,0.000238
2106,ekshell,tcp,0.000238
5560,isqlplus,tcp,0.000238
6007,X11:7,tcp,0.000238
1090,ff-fms,tcp,0.000228
1091,ff-sm,tcp,0.000228
1114,mini-sql,tcp,0.000228
1117,ardus-mtrns,tcp,0.000228
1119,bnetgame,tcp,0.000228
1122,availant-mgr,tcp,0.000228
1131,caspssl,tcp,0.000228
1138,encrypted_admin,tcp,0.000228
1151,unizensus,tcp,0.000228
1175,dossier,tcp,0.000228
1199,dmidi,tcp,0.000228
1201,nucleus-sand,tcp,0.000228
1271,excw,tcp,0.000228
1862,mysql-cm-agent,tcp,0.000228
2323,3d-nfsd,tcp,0.000228
2393,ms-olap1,tcp,0.000228
2394,ms-olap2,tcp,0.000228
2608,wag-service,tcp,0.000228
2725,msolap-ptp2,tcp,0.000228
2909,funk-dialout,tcp,0.000228
3003,cgms,tcp,0.000228
3168,poweronnud,tcp,0.000228
3221,xnm-clear-text,tcp,0.000228
3322,active-net,tcp,0.000228
3324,active-net,tcp,0.000228
3390,dsc,tcp,0.000228
3517,802-11-iapp,tcp,0.000228
3527,beserver-msg-q,tcp,0.000228
3800,pwgpsi,tcp,0.000228
3809,apocd,tcp,0.000228
3814,neto-dcs,tcp,0.000228
3826,wormux,tcp,0.000228
3869,ovsam-mgmt,tcp,0.000228
3878,fotogcad,tcp,0.000228
3889,dandv-tester,tcp,0.000228
3905,mupdate,tcp,0.000228
3914,listcrt-port-2,tcp,0.000228
3920,exasoftport1,tcp,0.000228
3945,emcads,tcp,0.000228
3971,lanrevserver,tcp,0.000228
4004,pxc-roid,tcp,0.000228
4005,pxc-pin,tcp,0.000228
4279,vrml-multi-use,tcp,0.000228
4445,upnotifyp,tcp,0.000228
4550,gds-adppiw-db,tcp,0.000228
4567,tram,tcp,0.000228
4848,appserv-http,tcp,0.000228
4900,hfcs,tcp,0.000228
5033,unknown,tcp,0.000228
5061,sip-tls,tcp,0.000228
5080,onscreen,tcp,0.000228
5087,unknown,tcp,0.000228
5221,3exmp,tcp,0.000228
5440,unknown,tcp,0.000228
5544,unknown,tcp,0.000228
5678,rrac,tcp,0.000228
5730,unieng,tcp,0.000228
5811,unknown,tcp,0.000228
5815,unknown,tcp,0.000228
5850,unknown,tcp,0.000228
5862,unknown,tcp,0.000228
5906,unknown,tcp,0.000228
5907,unknown,tcp,0.000228
5950,unknown,tcp,0.000228
5952,unknown,tcp,0.000228
6025,x11,tcp,0.000228
6100,synchronet-db,tcp,0.000228
6510,mcer-port,tcp,0.000228
6565,unknown,tcp,0.000228
6566,sane-port,tcp,0.000228
6567,esp,tcp,0.000228
6689,tsa,tcp,0.000228
6692,unknown,tcp,0.000228
6779,unknown,tcp,0.000228
6792,unknown,tcp,0.000228
6839,unknown,tcp,0.000228
7025,vmsvc-2,tcp,0.000228
7496,unknown,tcp,0.000228
7676,imqbrokerd,tcp,0.000228
7800,asr,tcp,0.000228
7920,unknown,tcp,0.000228
7921,unknown,tcp,0.000228
7999,irdmi2,tcp,0.000228
8022,oa-system,tcp,0.000228
